character,featureID#0,featureID#1,featureID#2,featureID#3,featureID#4,featureID#5,featureID#6,featureID#7,featureID#8,featureID#9,featureID#10,featureID#11,featureID#12,featureID#13,featureID#14,featureID#15,featureID#16,featureID#17,featureID#18,featureID#19
a,47.91374207,35.96287155,42.22667694,50.01203537,27.64135933,39.34383011,35.17324066,30.4697113,20.00812149,38.86461639,35.22410583,29.57154274,20.95240974,35.06249237,34.10985947,31.01690292,30.86726952,36.00843811,35.33733749,33.23691177
a,47.91373825,35.87161636,44.38207245,54.16498947,27.64135933,39.34382629,35.72761917,29.99055672,20.00812721,36.44324493,35.66687393,30.96975899,20.95241356,32.33926392,32.6804924,30.65450287,30.86726761,33.70604706,32.44927216,31.4074173
a,51.68888855,37.62203217,46.54720688,56.09244919,29.81924248,42.85531235,42.00946045,37.29504395,21.58457184,39.95367813,39.27370834,33.82100296,22.60326576,35.4438858,36.17946625,33.76669693,33.29931259,36.59690094,35.40599442,34.17129517
a,46.07876968,32.08705521,39.4683876,48.40138245,26.58277321,41.56180954,40.41518021,37.73813248,19.24186516,39.79514313,39.29861069,36.38361359,20.1499939,35.8945961,35.427845,33.53406525,29.6851368,35.55186462,34.62059402,33.28852844
b,51.06721115,38.03265762,42.47160339,50.40546799,29.46059608,56.50966644,74.36824799,87.3212204,21.32496834,59.48609543,82.12517548,97.10379791,22.33140755,53.7749176,75.17430878,89.78164673,32.89882278,49.33450317,62.1833725,74.33654785
b,45.72199631,37.16253281,38.137146,41.2711525,26.37695122,50.90826797,66.94655609,78.5687561,19.09288216,53.16168594,73.35277557,86.67188263,19.99397469,47.41355896,66.36627197,79.31648254,29.45528984,43.31324768,54.51317215,65.20912933
b,46.97111893,36.79675293,35.62052536,37.20715714,27.09756851,50.03453064,65.62996674,76.89440155,19.61449814,51.99362183,71.83686066,85.12294769,20.54020882,48.00642014,66.93604279,79.9916687,30.26000977,44.54532242,55.49393845,66.14135742
b,48.10179138,39.8259697,43.41173935,48.18347549,27.74985313,54.31502533,71.7299881,84.35765839,20.08665466,56.37091064,78.22718048,92.70037842,21.0346508,50.87206268,71.59568787,85.79369354,30.9884243,46.00991058,58.31079865,70.09191895
b,52.81189346,32.40387344,41.29795456,54.47867584,30.46710777,56.0554657,73.63327026,86.3407135,22.05352783,57.09405518,79.41152954,94.29324341,23.09435272,51.86374283,72.79350281,87.08480835,34.022789,48.43597794,60.66602707,71.97147369
c,54.93891144,46.60077286,57.35009384,65.98659515,31.69417381,63.13763428,72.53018951,67.55130005,22.94173813,66.07396698,76.34420776,70.48834991,24.02448082,61.09624863,69.99546051,65.21417236,35.39306259,57.39866257,61.81826019,57.94335175
c,50.50527954,46.0711174,60.86373901,75.25266266,29.1364193,61.40248871,76.60501862,84.17405701,21.09031105,60.25553894,79.12987518,88.12364197,22.08567238,54.27889633,71.7784729,80.45610809,32.53680038,52.88502502,63.16892242,69.83581543
c,52.86435318,49.37009048,50.84983444,51.38220215,30.49736404,54.29064941,65.92916107,65.46081543,22.07542992,59.34382248,76.96988678,83.39325714,23.11728668,54.48109055,73.15966034,83.42247772,34.05657959,51.40763855,61.41862488,68.79460907
c,51.76233292,34.54445267,42.28913498,53.3799324,29.86161041,58.87387466,70.383461,70.58521271,21.615242,60.63773727,73.93868256,71.38760376,22.6353817,55.65239334,67.66822052,69.56354523,33.34662628,50.78263092,50.80370331,47.1420784
c,53.43893051,41.16403198,51.83673096,62.00405884,30.82883644,62.86169434,72.27480316,68.77675629,22.31537247,63.55704498,73.8816452,69.96074677,23.36855125,56.30395126,66.84511566,67.33294678,34.42674255,53.0837059,57.64468002,56.72929764
d,49.97972107,32.90236282,39.55878067,50.08195114,28.83322144,57.98381805,75.67707825,88.26483154,20.87084961,46.12763596,45.55124283,40.88166809,21.85585594,40.30644608,39.66149521,36.38348007,32.19823837,40.7958107,39.21700287,35.77564621
d,51.56488037,34.13243484,40.72346497,47.41366577,29.74769402,60.96678543,79.81671143,93.18115234,21.53278732,47.0828743,44.05038071,37.88072586,22.54903793,41.55684662,39.07956696,34.83266068,33.21942902,43.5917778,41.42648697,37.13500595
d,54.47667313,38.04978943,49.0083313,62.17619324,31.42750931,64.04898071,83.74066162,97.75312042,22.74871635,48.66154099,44.60373306,37.84964752,23.82234192,43.39621353,40.02786636,35.00221634,35.09527206,47.34782028,47.64230347,43.49694824
d,51.15469742,49.04111862,64.88082123,80.34575653,29.51106453,58.73814774,76.53692627,89.09721375,21.3615036,44.6451683,40.82738113,35.01880264,22.36966133,39.40146637,36.87823105,33.39191437,32.95517349,42.9957695,40.8855896,37.05247116
